Image,Category,Detail,Confidence,Time
german-shepherd.jpg,🐶 Dog,German Shepherd,64.62,04-08-2026 12:48:12 AM
cat.jpg,🐱 Cat,Tabby,69.74,04-08-2026 12:48:24 AM
car.jpg,🚐 Van,Minivan,23.49,04-08-2026 12:48:46 AM
bike.jpg,Moped,Moped,81.04,04-08-2026 12:48:57 AM
banana.jpg,🍌 Banana,Banana,80.07,04-08-2026 12:49:08 AM
apple.jpg,🍎 Pomegranate,Pomegranate,47.44,04-08-2026 12:49:16 AM
Oranges.jpg,🍊 Orange,Orange,95.53,04-08-2026 01:25:02 AM
cat.jpg,🐱 Cat,Tabby,69.74,04-08-2026 01:54:42 AM
banana.jpg,🍌 Banana,Banana,80.07,04-08-2026 02:06:24 AM
camera.jpg,Punching Bag,Punching Bag,53.58,04-08-2026 02:10:36 AM
